Response ID,Country,City,Region,Home ZIP,Work ZIP,Are you a resident of a nearby neighborhood?,Do you own a business on Telegraph?,Do you work on or near Telegraph?,"Do you visit the stores, restaurants and bars, or use the services on Telegraph Avenue?",Do you commute via Telegraph Avenue?,How often do you visit or pass through Telegraph Avenue?,ModeRank1,ModeRank2,ModeRank3,ModeRank4,ModeRank5,ModeRank6,ModeRankNR,Rank of driving among modes of transport 1,Rank of AC Transit among modes of transport 1,Rank of BART among modes of transport 1,Rank of bicycle  among modes of transport 1,Rank of walking  among modes of transport 1,"Rank of ""other""  among modes of transport 1",What do you like best about Telegraph Avenue?,What do you wish were different about Telegraph Avenue?,Tgraph is good for pedestrians,Tgraph is good for bicyclists,Tgraph is good for motorists,Tgraph is good for transit riders,Do you feel that the existing configuration adequately balances the needs of all users (pedestrians/cyclists/motorists/transit riders)?,ImprRank1,ImprRank2,ImproRank3,ImprRank4,ImprRankNR,Rank driving should have in planned improvements 1,Rank public transit should have in planned improvements 1,Rank bicycling should have in planned improvements 1,Rank walking should have in planned improvements 1,Ideas to help motorists,Ideas to help transit riders,Ideas to help bicyclists,Ideas to help pedestrians,Comments on the draft vision statement,"What streets in Oakland, the Bay Area, or anywhere in the world do you wish Telegraph Avenue more closely resembled? What about those streets do you like? What aspects of those streets would you most like to see on Telegraph Avenue?",Is there anything we missed? Please share any additional comments you have about Telegraph Avenue.
1,United States,Oakland,CA,94611,94611,Yes,No/blank,Yes,Yes,No/blank,A few times per week,Biking,BARTWalking,ACT,,,Driving,Other,6,3,2,1,2,,,Safer bicycling.,Disagree,Disagree,Agree,Agree,No,Biking,TransitWalking,,DrivingWalking,,4,2,1,2,"Remove parking garages to discourage driving. Also, reduce the number of lanes on Telegraph dedicated to automobiles along the entirety of Telegraph Ave.",,Convert one entire lane of traffic into a bicycles only lane along the entirety of Telegraph Ave.,"Repair broken sidewalks on Telegraph Ave. south of MacArthur. Also, adding pedestrian only crossing time, like Chinatown, would help ensure the safety of pedestrians and others.","I would deemphasize the interests of drivers, who should be encouraged to adopt alternative means of transit for everyone's safety.",40th St. in Oakland is a good model for making streets more biker friendly. The pedestrian crossings in Oakland's Chinatown help ensure everyone's safety.,
2,United States,San Francisco,CA,94611,94103,Yes,No/blank,No/blank,Yes,Yes,Daily,Other,ACT,Biking,Driving,BART,Walking,,4,2,5,3,6,1,"Several good restaurants, and the Depot for Creative Reuse",Roadway should be narrower and easier to cross. Should provide bike lanes.,Strongly Disagree,Strongly Disagree,Agree,Agree,No,Driving,Transit,Biking,,,1,2,3,4,"It's already too fast and easy to drive and park on. Turns, especially, should never be fast or easy. If you must make it easy to drive somewhere, reserve that for north of 51st Street, south of MacArthur, and north of Grand.","Add a new BART station at the freeway overpass at the north end of Temescal. Fix visual obstructions and pedestrian obstacles separating Telegraph from MacArthur BART. And sure, have bus service that is frequent enough to be worth using.",Everywhere: Add bike lanes,Everywhere: Widen the sidewalks and make every traffic signal give a walk signal with every green light instead of requiring pushbuttons,"""Balance"" is just code for continued vehicular domination. It needs to be *possible* to drive there, but nothing should be done to make it easy to drive that in any way compromises the pedestrian or bicycle experience.","If all of Telegraph could be like the few blocks at the north end next to the Berkeley campus, that would be a huge win. Instead AC Transit wants to make those blocks harder to walk on so it can move buses faster like on the rest of Telegraph.  Obviously you already know the commercial streets in the Bay Area that are worth going to: Valencia, Polk, 24th Street (SF), Hayes, Haight, Chestnut, Union, Grant, 4th St (Berkeley), etc. What they all have in common is narrower roadways, easier crossings, and slow and difficult driving conditions.",
3,United States,Oakland,CA,94608,94607,Yes,No/blank,Yes,Yes,Yes,Daily,Biking,Walking,BART,ACT,Driving,,Other,5,4,3,1,2,,"Many destinations (restaurants, bars, shops, transit), interesting buildings, convenient route from Berkeley to Downtown Oakland (straight, few stops)","Better pavement, more bike facilities, bike-friendly signal timing, safer biking/walking environment through hwy underpasses, slower traffic, safer pedestrian crossings especially at uncontrolled crosswalks",Disagree,Strongly Disagree,Agree,Disagree,No,BikingWalking,Transit,Driving,,,3,2,1,1,close southernmost block of Shattuck to car traffic so that Shattuck traffic entering Telegraph does so at a safer location,bus bulbs (sidewalk extensions) with bike lanes running behind,"protected bike lanes, better pavement quality, bike signal phases at busy intersections, bike boxes at intersections with tricky left turns","better street lighting, safer crossings of Telegraph at uncontrolled intersections or midblock crosswalks, wider sidewalks especially around transit centers and bus stops","Add that this corridor already gets the highest bike traffic in the city without any bike accommodation whatsoever. With better bike, pedestrian, and transit access it could become the Oakland equivalent of Market Street in SF or better. The current design is all that is holding it back.",,
4,United States,Oakland,CA,94606,94612,No/blank,No/blank,No/blank,Yes,No/blank,A few times per week,Biking,Walking,BART,ACT,Other,Driving,,6,4,3,1,2,5,"I like how Telegraph is a destination in and of itself (many restaurants and stores to visit, etc.), as well as a commuter route","Separated lanes for transit, as well as physically buffered bike lanes. There are many uncontrolled crossings along Telegraph where drivers DO NOT yield to people attempting to cross; this is compounded by bus stops that are sited right at those uncontrolled crossing.",Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,No,Transit,Biking,Walking,Driving,,4,1,2,3,,Separated transit lane unimpeded by traffic or double-parked cars for the entire length of Telegraph,"physically separated cycle track for entire length of Telegraph; if not possible, then at least a class II bike lane for the entire length--currently the bike lane starts and stops abruptly along the entire length",Improve uncontrolled crossings with installation of RRFBs or refuge islands,"Reword ""consider both through-travel..."" to ""consider both through-travel..for all modes""",,
5,United States,Oakland,CA,94619,94612,No/blank,No/blank,Yes,Yes,No/blank,A few times per week,Driving,,,,Walking,,ACTBARTBikingOther,1,,,,5,,shops,prettier,Agree,Agree,Agree,Agree,Yes,Driving,Transit,Walking,Biking,,1,2,4,3,,,,,,,
6,United States,Boston,MA,94618,,Yes,No/blank,No/blank,No/blank,Yes,A few times per week,Biking,Walking,BART,Driving,ACT,Other,,4,5,3,1,2,6,the variety of stuff,"more bookstores, safer bike infrastructure, better lighting (and generally less sketchiness) under the freeways, overall more continuity of mixed uses down the whole avenue",No Opinion,Agree,Strongly Agree,Disagree,No,Transit,Biking,Walking,Driving,,4,1,2,3,,"Bus transit that is actually worthy of the ""rapid"" moniker",,,Be honest and mention the 2 freeways that dramatically disrupt Telegraph Avenue between 20th and 57th Streets!,,good luck
7,United States,Oakland,CA,94609,94103,Yes,No/blank,No/blank,Yes,Yes,Daily,Walking,BART,Biking,ACT,Other,Driving,,6,4,2,3,1,5,Interesting shops and restaurants.  Direct corridor. Could be a great street.,"I wish Telegraph Ave had bike lanes and better transit service. Telegraph is overly focused on cars, so it isn't a pleasant environment for anyone not in a car (my family doesn't have a car by choice).",Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,No,Biking,Transit,Walking,Driving,,4,2,1,3,Dedicated bike lanes and transit lanes would leave cars with their own lane,East Bay BRT would have been great. Telegraph needs more reliable bus service and more late night bus service,Telegraph needs bike lanes all the way from Uptown to route 24.,Remove the ped crossing call buttons. They unfairly delay pedestrians and force pedestrians to walk out of their way to push the buttons.,"I like it!  Please define auto access broadly to account for all the capacity that exists on SR24, MLK, and Broadway.  Any lane reduction on Telegraph reduces corridor capacity by only a small percent.","Telegraph doesn't need to copy any other street, it should be itself. But it would be a much better street with fewer car lanes, new bike lanes, more bile parking, easier ped crossings, and better transit service. A plaza where Shattuck meets Telegraph would be nice too.","Pedestrian crossing call buttons! Those things are the bane of my existence in Oakland and don't belong in any urban city. Please require your traffic engineers to fully account for all pedestrian delay caused by actuated pedestrian crossing signals. Actuated signals might marginally reduce auto delay, but they make crossing the street a giant hassle for pedestrians (and safety risk for the large number of people that don't wait for the walk signal or of frustration)."
8,United States,Albany,CA,94610,94609,No/blank,No/blank,Yes,Yes,Yes,Daily,,BikingWalking,,ACT,Driving,,BARTOther,5,4,,2,2,,Direct bike route between home and work.  Some of my favorite shops and restaurants are here.  Glad to see some old buildings being fixed up.,Continuous bike lanes and fewer potholes.  Retail dead zone at 580 overpass.  Drug dealing in the early morning and evening.,Disagree,Strongly Disagree,Agree,No Opinion,No,TransitBikingWalking,,Driving,Walking,,3,1,1,1,,Add another stop for the 1R.,Green bike lanes.,No empty storefronts.,I would like to see the focus on encouraging pedestrian activity (instead of treating all transportation modes equally).  This is the key to creating an active and interesting place. Cycling and public transit infrastructure both support a pedestrian-friendly environment.,"Via del Corso in Rome:  Mostly pedestrians, continuous and uniform built edges (no parking lots!)  Destination point for strolling--not driving, though it's permitted. Ground floor retail.  Festive lighting and signage.",
9,United States,Emeryville,CA,94609,94609,No/blank,No/blank,No/blank,Yes,No/blank,A few times per week,Biking,Walking,,,,,DrivingACTBARTOther,,,,1,2,,the mix of retail and restaurants and large trees,We need bike lanes and less and slower car traffic. I would love to see McDonald's and other fast food chains gone as they bring traffic and folks idling their cars.,Disagree,Strongly Disagree,Strongly Agree,Disagree,No,Driving,,,TransitBiking,,1,4,4,4,,,"need protected bike lanes, more bike parking and bike corrals","slow down and reduce car traffic, especially near 40th and 51st St intersections, widen sidewalks between 20th and ? maybe 30th--not sure",nice statement,"Great streets include many in the world including shared streets (mostly peds but some car traffic) in Curichiba, Brazil, Mexico City  We need a dedicated hang out space which Kaspar Corner has the best chance of becoming with dealing, food trucks and a cafe vibe, live music etc.  There might also be an appropriate place for such a parklet between 20th and 30th--",lots more trees needed in the Uptown--that's why Telegraph in Temescal feels better
10,United States,Los Angeles,CA,94608,,Yes,No/blank,No/blank,Yes,Yes,Daily,BART,DrivingACTWalking,Biking,,,,Other,2,2,1,3,2,,The variety of shops and restaurants.,,Disagree,Disagree,Agree,Disagree,No,Biking,TransitWalking,,Driving,,4,2,1,2,,,,,,Downtown Santa Cruz.,
